title,author,release_date,url
Compact Offset Microstrip-Fed MIMO Antenna for Band-Notched UWB Applications,"Le Kang, Hui Li, Xinhuai Wang, Xiaowei Shi",2015,https://ieeexplore.ieee.org/document/7084602/
Dual-band microstrip antenna fed by coaxial probe,"Bao-shan Yan, Lu Wang, Zhi-quan Luo, Dong-min Deng, Li-ying Feng, Hong-xing Zheng",2016,https://ieeexplore.ieee.org/document/7833923/
LHCP and RHCP Substrate Integrated Waveguide Antenna Arrays for Millimeter-Wave Applications,"Seong-Jin Park, Seong-Ook Park",2017,https://ieeexplore.ieee.org/document/7523214/
CPW-fed Band-notched Monopole Antenna for UWB Applications,"X. Wang, Z. F. Yao, Z. Cui, L. Luo, S. X. Zhang",2008,https://ieeexplore.ieee.org/document/4735177/
"A novel broadband antenna, the low profile dipole planar inverted cone antenna (LPdiPICA)","Seong-Youp Suh, W. Stutzman, W. Davis, A. Waltho, J. Schiffer",2004,https://ieeexplore.ieee.org/document/1329785/
Antenna Beamwidth Control [Antenna Designer's Notebook],"Josef Kriz, Vitezslav Krcmer, Jan Pidanic, Vladimir Schejbal",2010,https://ieeexplore.ieee.org/document/5466418/
Compact Antennas for Nano- and Micro- satellites: development and future antenna needs at CNES,"Rémi Fragnier, Kevin Elis, Vincent Laquerbe, Romain Contreres, Anthony Bellion, Baptiste Palacin",2019,https://ieeexplore.ieee.org/document/8740270/
Pattern-Reconfigurable Yagi–Uda Antenna Based on Liquid Metal,"Jiaxiang Hao, Jian Ren, Xiaoyu Du, Jan Hvolgaard Mikkelsen, Ming Shen, Ying Zeng Yin",2021,https://ieeexplore.ieee.org/document/9351606/
"A High-Isolation, Ultra-Wideband Simultaneous Transmit and Receive Antenna With Monopole-Like Radiation Characteristics","Ruina Lian, Ting-Yen Shih, Yingzeng Yin, Nader Behdad",2018,https://ieeexplore.ieee.org/document/8219401/
A K-band series-fed microstip array antenna with low sidelobe for anticollision radar application,"Yu-lin Chang, Yong-chang Jiao, Li Zhang, Guantao Chen, Xiaohui Qiu",2017,https://ieeexplore.ieee.org/document/8420878/
A Dual-Polarized and High-Gain X-/Ka-Band Shared-Aperture Antenna With High Aperture Reuse Efficiency,"Peng Mei, Shuai Zhang, Gert Frølund Pedersen",2021,https://ieeexplore.ieee.org/document/9210161/
Dual-Polarized Directive Ultrawideband Antenna Integrated With Horn and Vivaldi Array,"Yongsheng Pan, Yang Cheng, Yuandan Dong",2021,https://ieeexplore.ieee.org/document/9264688/
Bandwidth Enhancement of a Printed Slot Antenna With a Pair of Parasitic Patches,"S. T. Fan, Y. Z. Yin, B. Lee, W. Hu, X. Yang",2012,https://ieeexplore.ieee.org/document/6329392/
Broadband Dual Polarization Antenna Array for 5G Millimeter Wave Applications,"Chang Zhao, Ying Liu, Yu Zhang, Aidi Ren, Yongtao Jia",2019,https://ieeexplore.ieee.org/document/8963242/
Monopole Antenna With Quasi-Fractal Slotted Ground Plane for Dual-Band Applications,"Tao Hong, Shu-Xi Gong, Ying Liu, Wen Jiang",2010,https://ieeexplore.ieee.org/document/5492142/
Omnidirectional WLAN Antenna With Common-Mode Current Suppression,"Wenliang Song, Zibin Weng, Yong-Chang Jiao, Lei Wang, Hong-Wei Yu",2021,https://ieeexplore.ieee.org/document/9423553/
"Low-Profile, Quasi-Omnidirectional Substrate Integrated Waveguide (SIW) Multihorn Antenna","Ling Sun, Baohua Sun, Jiangpeng Yuan, Wending Tang, He Wu",2016,https://ieeexplore.ieee.org/document/7239547/
Digital terrestrial broadcasting antennas -4-Plane synthesis pattern and gain improvement-,"Haruo Kawakami, Toshiyuki Haga, Katsuaki Hosoi, Daisuke Shirahama, Yoshihiro Norimatsu, Yukinori Ninomiya, Masao Tanioka",2007,https://ieeexplore.ieee.org/document/4396598/
Dual Reflectarray Ka-band Multibeam Antenna,"C. Tienda, A. Katsounaros, S. Stirland",2019,https://ieeexplore.ieee.org/document/8739904/
Unified frequency and time-domain antenna modeling and characterization,"S. Licul, W.A. Davis",2005,https://ieeexplore.ieee.org/document/1504945/
L Band Array Antenna for Combined Interrogator Transponder (CIT) suitable for airborne applications,"Neeresh Kumar, Bal Mukund Jha, Ajay Kumar Sharma",2021,https://ieeexplore.ieee.org/document/9726430/
A Modular Architecture for Wide Scan Angle Phased Array Antenna for K/Ka Mobile SATCOM,"W. M. Abdel-Wahab, H. Al-Saedi, E. Haj Mirza Alian, M. Raeis-Zadeh, A. Ehsandar, A. Palizban, N. Ghafarian, G. Chen, H. Gharaee, M. R. Nezhad-Ahmadi, S. Safavi Naeini",2019,https://ieeexplore.ieee.org/document/8700842/
The development of a compact point-defense phased array antenna,"D.-C. Chang, C.-I. Hung, J.-H. Yao",1993,https://ieeexplore.ieee.org/document/385361/
